"suitability_reasoning","product_url","why_this_gift","image_url","description","source_type","title","affiliate_url","admin_feedback_note","subscriber_user_id","feedback","suitability_confidence","admin_feedback_reason","price","delivery_speed","product_id","selection_score","gift_list_id","retailer_name","subscriber_action","matched_signals","ai_flag_concern","status","id","created_date","updated_date","created_by_id","is_sample"
"The product meets her interest in fashion while respecting the requirement to avoid synthetic, plastic-based materials.","https://brahmaki.com/products/yamuna-ecovero-leela-dress","Sarah Test values high-quality clothing that facilitates freedom of movement for her active lifestyle. This dress is crafted from sustainable materials and offers a flowy, natural fit that suits her spontaneous nature.","https://www.brahmaki.com/cdn/shop/files/5_f29420f0-c226-431b-ae39-bc09231cc536.jpg?v=1778214714","The Yamuna Leela Dress in silky EcoVero™ - fluid, sustainably crafted and softly radiant. Wide, flowing sleeves, a deep V-neck and a full sweeping skirt give it a freedom of movement that feels effortless and deeply natural, while dusty rose and warm amber tones carry the tenderness of a fading sunset. For a seaside di","legacy_unknown","Yamuna - EcoVero Leela Dress","https://brahmaki.com/products/yamuna-ecovero-leela-dress","","6a82ee97f1da6e4af7ecc1e8","","2","","349","standard","6a5cf9a67b9e64322873d2aa","28","6a84609a4a7a3b3c8b1e6477","brahmaki.com","","[""gift-type tag: Practical but high quality""]","","standby","6a8460a4c778daae144826ff","2026-08-18T13:39:48.639000","2026-08-18T13:39:48.639000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
"This aligns with her interest in art and culture, though it is a more niche gift than the others.","https://www.houseofhackney.com/products/hollyhocks-wallpaper-spring","Sarah Test has a creative side that appreciates art and interior design. This high-end wallpaper features a lush botanical print that brings a touch of artistic elegance to her personal living space.","https://us.houseofhackney.com/cdn/shop/files/hollyhocks_digital_wallpaper_spring_65178370-8c3a-4ff2-8a0e-7ec4f80c266e.jpg?crop=center&height=57&v=1761661834&width=57","Reminiscent of the lush colour and luminous cheerfulness found in Gustav Klimt's paintings of flower gardens, HOLLYHOCKS was created especially for House of Hackney by American artist Kerry Simmons, based on her own work of the same name.","legacy_unknown","HOLLYHOCKS Wallpaper - Spring","https://www.houseofhackney.com/products/hollyhocks-wallpaper-spring","","6a82ee97f1da6e4af7ecc1e8","","2","","288.35","standard","6a5cf9a67b9e64322873d27d","91","6a84609a4a7a3b3c8b1e6477","houseofhackney.com","","[""interest tag: Gardening"",""interest tag: Fashion & accessories"",""interest tag: Art & culture"",""gift-type tag: Beautiful objects for the home""]","","standby","6a8460a4c81d016d17288f58","2026-08-18T13:39:48.561000","2026-08-18T13:39:48.561000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
"The product aligns perfectly with her interest in cocktails and her active, social personality.","https://www.fortnumandmason.com/fieldbar-x-fortnum-s-gin-trunk-eau-de-nil","Sarah Test enjoys social outings and appreciates well-crafted cocktails during her adventurous lifestyle. This gin trunk offers a high-end, portable solution for keeping drinks perfectly chilled while she is out and about.","https://www.fortnumandmason.com/media/catalog/product//5/2/5241002_ayr26_fieldbar_fm_gin_trunk_edn_pdp_a.jpg?width=550&height=550&fit=bounds&canvas=550&550&quality=100","","legacy_unknown","Fieldbar x Fortnum's Gin Trunk, Eau de Nil","https://www.fortnumandmason.com/fieldbar-x-fortnum-s-gin-trunk-eau-de-nil","","6a82ee97f1da6e4af7ecc1e8","","5","","485.8","standard","6a5cf9a67b9e64322873d29b","42.7","6a84609a4a7a3b3c8b1e6477","fortnumandmason.com","","[""interest tag: Beauty & skincare"",""category perfume fits Pampering and self-care"",""persona: skincare, cocktails""]","The Fieldbar Gin Trunk is constructed with plastic insulating materials which violates the recipient's explicit avoidance of plastic.","standby","6a8460a48b127a05ea74cbf6","2026-08-18T13:39:48.495000","2026-08-18T13:39:48.495000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
"She has expressed a strong interest in fashion, and this item offers a high-end alternative for self-expression.","https://www.astridandmiyu.com/products/smoky-quartz-curved-piercing-stud-in-solid-white-gold","Sarah Test enjoys expressing her personal style through contemporary jewellery pieces. This smoky quartz stud uses solid white gold to provide a durable and luxurious look that fits her sophisticated aesthetic.","https://cdn.shopify.com/s/files/1/0140/0245/4586/files/AM26-Q1-PS-LD-SMK-SWG_1_11968fab-6144-48b1-9a23-5c8ddb56a3f5.jpg?v=1780649859","In a curved design to follow the natural shape of your ear, this 14k gold piercing stud can be worn in your lobe, conch or helix piercings.","legacy_unknown","Smokey Quartz Cluster Piercing Stud in Solid White Gold","https://www.astridandmiyu.com/products/smoky-quartz-curved-piercing-stud-in-solid-white-gold","","6a82ee97f1da6e4af7ecc1e8","","3","","215","standard","6a5cf9a97b9e64322873d47f","70.8","6a84609a4a7a3b3c8b1e6477","Shop Contemporary Jewellery to Stack & Style","","[""interest tag: Fashion & accessories"",""interest tag: Art & culture"",""gift-type tag: Beautiful objects for the home"",""gift-type match: Something to wear or carry""]","","standby","6a8460a4a0af5c90690decda","2026-08-18T13:39:48.428000","2026-08-18T13:39:48.428000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
"The item fits her practical yet fashionable persona, allowing her to stay connected during her social activities.","https://www.tusting.co.uk/products/hettie","Sarah Test is an outgoing young professional who needs versatile accessories for a fast-paced life. This leather phone bag functions as a chic clutch or a practical crossbody, offering great utility without compromising on style.","https://www.tusting.co.uk/cdn/shop/files/Tusting-Hettie-Cloud-FRONT.jpg?v=1773835325&width=1100","Hettie: bestselling mini leather phone bag, endlessly versatile, it transforms from tiny top-handle or clutch to an easy everyday crossbody. Made in England.","legacy_unknown","Hettie","https://www.tusting.co.uk/products/hettie","","6a82ee97f1da6e4af7ecc1e8","","3","","317","standard","6a5cf9a67b9e64322873d2d0","55.5","6a84609a4a7a3b3c8b1e6477","tusting.co.uk","","[""interest tag: Fashion & accessories"",""category bag fits Something to wear or carry"",""gift-type tag: Practical but high quality""]","","standby","6a8460a4fa0e736ec1db1c84","2026-08-18T13:39:48.371000","2026-08-18T13:39:48.371000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
"Her interest in cooking and food is directly addressed by this premium food-centric gift.","https://www.fortnumandmason.com/the-garden-party-hamper","Sarah Test finds joy in gourmet food and experiences, reflecting her appreciation for high-end dining. This curated hamper includes artisanal items that provide a complete, luxurious experience for her next social gathering.","https://www.fortnumandmason.com/media/catalog/product/g/a/garden-party-hamper-2021.jpg","","legacy_unknown","The Garden Party Hamper","https://www.fortnumandmason.com/the-garden-party-hamper","","6a82ee97f1da6e4af7ecc1e8","","3","","487.02","standard","6a5cf9a67b9e64322873d28f","90.7","6a84609a4a7a3b3c8b1e6477","fortnumandmason.com","","[""interest tag: Cooking & food"",""interest tag: Gardening"",""interest tag: Art & culture"",""gift-type tag: Things to eat or drink""]","","active","6a8460a444f43edde326e807","2026-08-18T13:39:48.312000","2026-08-18T13:39:48.312000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
"Her adventurous and spontaneous personality makes her a natural candidate for portable, high-quality outdoor accessories.","https://melintregwynt.co.uk/products/multicheck-throws-and-blankets?variant=53502611390841","Sarah Test enjoys spending time outdoors and exploring, making this versatile blanket an ideal companion for her spontaneous adventures. The classic, rich design is woven in high-quality wool, ensuring a luxurious feel without the use of synthetic materials.","https://melintregwynt.co.uk/cdn/shop/files/Multicheck_Deilen_throw.jpg?crop=center&height=400&v=1731353648&width=400","Reviving a Melin Tregwynt classic, our new range of Multicheck blankets has reimagined this design in a collection of four rich, joyful colour combinations, designed to complement our double cloth range. Add a touch of nostalgic homeliness, whether cwtching up indoors or out and about. Throw 130 x 180 cm Single 180 x","legacy_unknown","Multicheck throws and blankets","https://melintregwynt.co.uk/products/multicheck-throws-and-blankets?variant=53502611390841","","6a82ee97f1da6e4af7ecc1e8","","3","","244.9","standard","6a5cf9a67b9e64322873d26a","55.2","6a84609a4a7a3b3c8b1e6477","Melin Tregwynt - Woven in Wales","","[""interest match: Travel & adventure"",""gift-type tag: Experiences"",""gift-type tag: Beautiful objects for the home"",""persona: cocktails""]","","active","6a8460a4ce49f5332aadbf6a","2026-08-18T13:39:48.210000","2026-08-18T13:39:48.210000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
"This fits the fashion interest while satisfying the requirement for high-quality, non-plastic accessories.","https://www.tusting.co.uk/products/mini-holly","Sarah Test leads an active, career-focused life where practical yet fashionable accessories are highly valued. This leather handbag is handmade in England and offers a timeless design suitable for both formal events and daily use.","https://www.tusting.co.uk/cdn/shop/files/Tusting-8-Mini-Holly-Taupe-1254.jpg?v=1772225593&width=1100","The bestselling Tusting Mini Holly leather top-handle handbag, 100% Made in England. A favourite choice for formal events, but also a great everyday crossbody","legacy_unknown","Mini Holly","https://www.tusting.co.uk/products/mini-holly","","6a82ee97f1da6e4af7ecc1e8","","4","","346","standard","6a5cf9a67b9e64322873d2d4","55.9","6a84609a4a7a3b3c8b1e6477","tusting.co.uk","","[""interest tag: Fashion & accessories"",""category bag fits Something to wear or carry"",""gift-type tag: Practical but high quality""]","","active","6a8460a46337cfb4b42c83aa","2026-08-18T13:39:48.115000","2026-08-18T13:39:48.115000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
"The interest tag for cooking and food directly justifies the relevance to her hobbies.","https://thegoto.com/products/the-summer-book-stack","Sarah Test has a keen interest in food and gourmet experiences that mirror her own culinary pursuits. These coffee table books provide a beautiful, sophisticated addition to her home while celebrating the Mediterranean lifestyle she loves.","http://thegoto.com/cdn/shop/files/17_3a6677f8-598b-44a2-98bf-20970f283a58.webp?v=1782754620","Endless summer. This vibrant book stack brings a sun-soaked palette to any coffee table or shelf. Inspired by Mediterranean escapes and effortless coastal living, each title captures the beauty of beachside interiors, Riviera dining, and European summers—coming together in a collection that feels fresh, uplifting, and","legacy_unknown","The Summer Coffee Table Book Stack","https://thegoto.com/products/the-summer-book-stack","","6a82ee97f1da6e4af7ecc1e8","","4","","227","standard","6a5cf9a97b9e64322873d45d","118","6a84609a4a7a3b3c8b1e6477","thegoto.com","","[""interest tag: Cooking & food"",""category ring fits Fashion & accessories"",""interest tag: Beauty & skincare"",""gift-type tag: Things to eat or drink""]","","active","6a8460a41384d9026085a8a7","2026-08-18T13:39:48.057000","2026-08-18T13:39:48.057000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
"This matches her interest in fashion and accessories while adhering to high-quality material standards.","https://www.astridandmiyu.com/products/smoky-quartz-curved-piercing-stud-in-solid-gold","As a young professional, Sarah Test appreciates sophisticated, fashionable accessories that complement her style. This solid gold piercing stud offers a high-quality, elegant piece of jewellery designed for versatile everyday wear.","https://cdn.shopify.com/s/files/1/0140/0245/4586/files/AM26-Q1-PS-LD-SMK-SG_1_2e2e6ba2-0e07-41a3-a819-eaaee19254e1.jpg?v=1780648205","In a curved design to follow the natural shape of your ear, this 14k gold piercing stud can be worn in your lobe, conch or helix piercings.","legacy_unknown","Smokey Quartz Cluster Piercing Stud in Solid Gold","https://www.astridandmiyu.com/products/smoky-quartz-curved-piercing-stud-in-solid-gold","","6a82ee97f1da6e4af7ecc1e8","","4","","215","standard","6a5cf9a97b9e64322873d47e","70.8","6a84609a4a7a3b3c8b1e6477","Shop Contemporary Jewellery to Stack & Style","","[""interest tag: Fashion & accessories"",""interest tag: Art & culture"",""gift-type tag: Beautiful objects for the home"",""gift-type match: Something to wear or carry""]","","active","6a8460a3cef072208018a3f5","2026-08-18T13:39:47.987000","2026-08-18T13:39:47.987000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
